"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","COUNTERPART_COUNTRY","FREQUENCY","SCALE","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:IMTS(1.0.0)","CAN.TBG_USD.GBR.A","OBS_VALUE","Canada","Trade balance goods, US dollar","United Kingdom","Annual","Millions","6320.087477","6461.856212","5187.635913","7638.728477","8858.071229","6290.255075","6978.204272","3128.340192","13287.986216"
"IMF.STA:IMTS(1.0.0)","USA.TBG_USD.GBR.A","OBS_VALUE","United States","Trade balance goods, US dollar","United Kingdom","Annual","Millions","1070.003242","2983.370282","5763.507388","5807.901074","8252.71143","5399.862654","12255.719782","9804.441551","11856.874421"
"IMF.STA:IMTS(1.0.0)","FRA.TBG_USD.CAN.A","OBS_VALUE","France","Trade balance goods, US dollar","Canada","Annual","Millions","736.872149","535.77173","884.032647","1140.456904","439.713899","164.597585","623.358044","384.106099","638.083505"
"IMF.STA:IMTS(1.0.0)","FRA.TBG_USD.ITA.A","OBS_VALUE","France","Trade balance goods, US dollar","Italy","Annual","Millions","-8573.448368","-9411.377","-11075.760348","-10450.647088","-11585.551886","-12812.620928","-3095.658326","-4790.087065","-7574.051785"
"IMF.STA:IMTS(1.0.0)","FRA.TBG_USD.GBR.A","OBS_VALUE","France","Trade balance goods, US dollar","United Kingdom","Annual","Millions","9809.796931","8499.483248","11726.154774","11304.075765","8884.909776","9785.424839","6820.511754","12926.238801","12264.291683"
"IMF.STA:IMTS(1.0.0)","FRA.TBG_USD.DEU.A","OBS_VALUE","France","Trade balance goods, US dollar","Germany","Annual","Millions","-30348.077609","-36906.793965","-38505.466122","-36164.467449","-30362.639474","-36637.102683","-36012.330334","-32661.938444","-31949.544905"
"IMF.STA:IMTS(1.0.0)","FRA.TBG_USD.USA.A","OBS_VALUE","France","Trade balance goods, US dollar","United States","Annual","Millions","3688.264982","5948.669046","10204.901119","10689.717039","9520.521422","9865.023022","-6883.179456","58.54876","3024.290334"
"IMF.STA:IMTS(1.0.0)","FRA.TBG_USD.JPN.A","OBS_VALUE","France","Trade balance goods, US dollar","Japan","Annual","Millions","1283.697503","959.434","755.496337","1784.941417","898.540752","841.767206","882.155105","1140.489795","4199.563252"
"IMF.STA:IMTS(1.0.0)","DEU.TBG_USD.JPN.A","OBS_VALUE","Germany","Trade balance goods, US dollar","Japan","Annual","Millions","3320.481532","4450.948487","4792.706939","4563.273061","2497.395007","1375.344187","2347.578968","3362.315462","7409.950186"
"IMF.STA:IMTS(1.0.0)","DEU.TBG_USD.FRA.A","OBS_VALUE","Germany","Trade balance goods, US dollar","France","Annual","Millions","34716.549474","41283.49013","43012.891055","41000.171475","36035.994604","43657.986055","45871.705935","47311.390022","46747.057592"
